,time,L_X,L_Y,L_P,L_V,R_X,R_Y,R_P,R_V,Event
14169,679484.783,941.300811767578,544.2592084407806,3.100189208984375,True,950.577449798584,516.4471364021301,3.349838256835937,True,
14170,679488.14,933.3222770690918,543.8479614257812,3.1070098876953125,True,943.8813972473145,517.2732353210449,3.321014404296875,True,
14171,679491.492,933.6266326904296,540.5342638492584,3.12579345703125,True,941.0169410705566,517.1916747093201,3.329833984375,True,
14172,679494.768,934.8906898498536,538.3015823364258,3.1177978515625,True,943.531494140625,522.4669146537781,3.3202362060546875,True,
14173,679498.128,935.2167320251464,537.9740524291992,3.1259765625,True,943.597526550293,528.0777311325073,3.3047637939453125,True,
14174,679501.46,932.2754859924316,536.2287712097168,3.127044677734375,True,949.4664573669434,527.8594422340393,3.30914306640625,True,
14175,679504.819,929.348602294922,541.7626297473907,3.1126861572265625,True,937.6074028015136,518.0112075805664,3.3363189697265625,True,
14176,679508.103,933.3332061767578,539.1130042076111,3.11309814453125,True,932.742748260498,519.4292163848877,3.325057983398437,True,
14177,679511.437,934.3860626220704,538.0083632469177,3.104400634765625,True,925.0032806396484,525.0985479354858,3.309417724609375,True,
14178,679514.79,935.332374572754,541.472339630127,3.10400390625,True,917.8399085998536,522.9354858398438,3.30889892578125,True,
14179,679518.143,947.5647926330566,542.623393535614,3.1122283935546875,True,917.5356101989746,514.7084212303162,3.3237457275390625,True,
14180,679521.506,946.8542861938477,544.9109530448914,3.116241455078125,True,931.7828178405762,514.0191793441772,3.3429718017578125,True,
14181,679524.765,946.4013862609864,544.7797930240631,3.0913543701171875,True,936.9825553894044,513.3358597755432,3.34429931640625,True,
14182,679528.115,932.6531982421876,540.0618946552277,3.1400299072265625,True,936.712760925293,528.0981373786926,3.3006744384765625,True,
14183,679531.475,934.094409942627,537.0376825332642,3.13092041015625,True,933.9829444885254,511.56418561935425,3.352157592773437,True,
14184,679534.835,940.5624961853028,539.9972319602966,3.1279449462890625,True,933.555850982666,535.8946108818054,3.2588043212890625,True,
